survived,pclass,sex,fare,familySize,embarked,age
0,1,male,136.7792,1,C,27.0
1,1,female,136.7792,1,C,26.0
1,1,female,151.55,0,S,22.0
0,1,male,52.0,0,S,
0,1,male,25.5875,0,S,47.0
1,1,female,83.1583,2,C,39.0
0,1,male,83.1583,2,C,37.0
1,1,female,83.1583,2,C,64.0
1,1,female,25.7,2,S,55.0
0,1,male,26.55,0,S,
0,1,male,71.0,2,S,70.0
1,1,female,71.0,2,S,36.0
1,1,female,26.55,2,S,64.0
0,1,male,71.2833,1,C,39.0
1,1,female,71.2833,1,C,38.0
1,1,male,26.55,0,S,51.0
1,1,male,30.5,0,S,27.0
1,1,female,151.55,0,S,33.0
0,1,male,52.0,1,S,31.0
1,1,female,52.0,3,S,27.0
1,1,male,57.0,1,S,31.0
1,1,female,57.0,1,S,17.0
1,1,male,81.8583,2,S,53.0
1,1,male,81.8583,2,S,4.0
1,1,female,81.8583,2,S,54.0
0,1,male,106.425,1,C,50.0
1,1,female,247.5208,2,C,27.0
1,1,female,106.425,1,C,48.0
1,1,female,39.6,1,C,48.0
1,1,male,56.9292,1,C,49.0
0,1,male,29.7,0,C,39.0
1,1,female,83.1583,1,C,23.0
1,1,female,227.525,0,C,38.0
1,1,female,78.2667,1,C,54.0
0,1,female,31.6792,0,C,36.0
0,1,male,221.7792,0,S,
1,1,female,31.6833,0,S,
1,1,female,110.8833,0,C,
1,1,male,26.3875,0,S,36.0
0,1,male,27.75,0,C,30.0
1,1,female,263.0,5,S,24.0
1,1,female,263.0,5,S,28.0
1,1,female,263.0,5,S,23.0
0,1,male,263.0,5,S,19.0
0,1,male,263.0,5,S,64.0
1,1,female,263.0,5,S,60.0
1,1,female,56.9292,0,C,30.0
0,1,male,26.55,0,S,
1,1,male,133.65,2,S,50.0
1,1,male,27.7208,1,C,43.0
1,1,female,133.65,1,S,
1,1,female,49.5,2,C,22.0
1,1,male,79.2,2,C,60.0
1,1,female,79.2,2,C,48.0
0,1,male,0.0,0,S,
0,1,male,53.1,1,S,37.0
1,1,female,53.1,1,S,35.0
0,1,male,38.5,0,S,47.0
1,1,female,211.5,0,C,35.0
1,1,female,59.4,1,C,22.0
1,1,female,59.4,1,C,45.0
0,1,male,79.2,0,C,24.0
1,1,male,89.1042,1,C,49.0
1,1,female,89.1042,1,C,
0,1,male,34.6542,0,C,71.0
1,1,male,28.5,0,C,53.0
1,1,female,30.0,0,S,19.0
0,1,male,153.4625,1,S,38.0
1,1,female,153.4625,1,S,58.0
1,1,male,63.3583,1,C,23.0
1,1,female,63.3583,1,C,45.0
0,1,male,79.2,0,C,46.0
1,1,male,55.4417,1,C,25.0
1,1,female,55.4417,1,C,25.0
1,1,male,76.7292,1,C,48.0
1,1,female,76.7292,1,C,49.0
0,1,male,42.4,0,S,
0,1,male,83.475,1,S,45.0
1,1,female,83.475,1,S,35.0
0,1,male,0.0,0,S,40.0
1,1,male,76.7292,0,C,27.0
1,1,male,30.0,0,S,
1,1,female,83.1583,0,C,24.0
0,1,male,93.5,2,S,55.0
1,1,female,93.5,2,S,52.0
0,1,male,42.5,0,S,42.0
0,1,male,51.8625,0,S,
0,1,male,50.0,0,S,55.0
1,1,female,57.9792,1,C,16.0
1,1,female,57.9792,1,C,44.0
1,1,female,77.9583,1,S,51.0
0,1,male,52.0,1,S,42.0
1,1,female,52.0,1,S,35.0
1,1,male,26.55,0,C,35.0
1,1,male,90.0,1,S,38.0
0,1,male,30.6958,0,C,
1,1,female,90.0,1,S,35.0
1,1,female,80.0,0,,38.0
0,1,female,28.7125,0,C,50.0
1,1,male,0.0,0,S,49.0
0,1,male,26.0,0,S,46.0
0,1,male,26.0,0,S,50.0
0,1,male,211.5,0,C,32.5
0,1,male,29.7,0,C,58.0
0,1,male,51.8625,1,S,41.0
1,1,female,51.8625,1,S,
1,1,male,52.5542,1,S,42.0
1,1,female,52.5542,1,S,45.0
0,1,male,26.55,0,S,
1,1,female,211.3375,0,S,39.0
1,1,female,25.9292,0,S,49.0
1,1,female,106.425,0,C,30.0
1,1,male,512.3292,0,C,35.0
0,1,male,27.7208,0,C,
0,1,male,26.55,0,S,42.0
1,1,female,27.7208,0,C,55.0
1,1,female,39.4,1,S,16.0
1,1,female,39.4,1,S,51.0
0,1,male,30.0,0,S,29.0
1,1,female,77.9583,0,S,21.0
0,1,male,45.5,0,S,30.0
1,1,female,146.5208,0,C,58.0
1,1,female,211.3375,1,S,15.0
0,1,male,26.0,0,S,30.0
1,1,female,86.5,0,S,16.0
1,1,male,29.7,0,C,
0,1,male,53.1,1,S,19.0
1,1,female,53.1,1,S,18.0
1,1,female,49.5042,0,C,24.0
0,1,male,75.2417,0,C,46.0
0,1,male,51.8625,0,S,54.0
1,1,male,26.2875,0,S,36.0
0,1,male,82.1708,1,C,28.0
1,1,female,82.1708,1,C,
0,1,male,26.55,0,S,65.0
0,1,male,90.0,2,Q,44.0
1,1,female,90.0,1,Q,33.0
1,1,female,90.0,1,Q,37.0
1,1,male,57.75,1,C,30.0
0,1,male,30.5,0,S,55.0
0,1,male,42.4,0,S,47.0
0,1,male,29.7,1,C,37.0
1,1,female,113.275,1,C,31.0
1,1,female,113.275,1,C,23.0
0,1,male,113.275,2,C,58.0
1,1,female,26.2833,2,S,19.0
0,1,male,26.0,0,S,64.0
1,1,female,108.9,0,C,39.0
1,1,male,25.7417,0,C,
1,1,female,61.9792,1,C,22.0
0,1,male,61.9792,1,C,65.0
0,1,male,27.7208,0,C,28.5
0,1,male,0.0,0,S,
0,1,male,28.5,0,S,45.5
0,1,male,93.5,0,S,23.0
0,1,male,66.6,1,S,29.0
1,1,female,66.6,1,S,22.0
0,1,male,108.9,1,C,18.0
1,1,female,108.9,1,C,17.0
1,1,female,93.5,0,S,30.0
1,1,male,30.5,0,S,52.0
0,1,male,52.0,0,S,47.0
1,1,female,83.1583,1,C,56.0
0,1,male,0.0,0,S,38.0
1,1,male,39.6,0,S,
0,1,male,135.6333,0,C,22.0
0,1,male,227.525,0,C,
1,1,female,211.3375,1,S,43.0
0,1,male,50.4958,0,S,31.0
1,1,male,26.55,0,S,45.0
0,1,male,50.0,0,S,
1,1,female,27.7208,0,C,33.0
0,1,male,79.2,0,C,46.0
0,1,male,40.125,0,C,36.0
1,1,female,86.5,0,S,33.0
0,1,male,59.4,1,C,55.0
1,1,female,59.4,1,C,54.0
0,1,male,26.55,0,S,33.0
1,1,male,262.375,4,C,13.0
1,1,female,262.375,4,C,18.0
1,1,female,262.375,4,C,21.0
0,1,male,262.375,4,C,61.0
1,1,female,262.375,4,C,48.0
1,1,male,30.5,0,S,
1,1,female,69.3,0,C,24.0
1,1,male,26.0,0,S,
1,1,female,57.75,1,C,35.0
1,1,female,31.0,0,C,30.0
1,1,male,26.55,0,S,34.0
1,1,female,153.4625,0,S,40.0
1,1,male,26.2875,0,S,35.0
0,1,male,55.9,1,S,50.0
1,1,female,55.9,1,S,39.0
1,1,male,35.5,0,C,56.0
1,1,male,35.5,0,S,28.0
0,1,male,26.55,0,S,56.0
0,1,male,30.6958,0,C,56.0
0,1,male,60.0,1,S,24.0
0,1,male,26.0,0,S,
1,1,female,60.0,1,S,18.0
1,1,male,82.2667,1,S,24.0
1,1,female,82.2667,1,S,23.0
1,1,male,134.5,2,C,6.0
1,1,male,134.5,2,C,45.0
1,1,female,134.5,2,C,40.0
0,1,male,146.5208,1,C,57.0
1,1,female,146.5208,1,C,
1,1,male,30.5,0,C,32.0
0,1,male,26.55,0,S,62.0
1,1,male,55.4417,1,C,54.0
1,1,female,55.4417,1,C,43.0
1,1,female,78.2667,1,C,52.0
0,1,male,27.7208,0,C,
1,1,female,80.0,0,,62.0
0,1,male,221.7792,1,S,67.0
0,1,female,221.7792,1,S,63.0
0,1,male,32.3208,0,S,61.0
1,1,female,25.9292,0,S,48.0
1,1,female,79.65,2,S,18.0
0,1,male,79.65,2,S,52.0
1,1,female,79.65,2,S,39.0
1,1,male,52.0,1,S,48.0
1,1,female,52.0,1,S,
0,1,male,110.8833,2,C,49.0
1,1,male,110.8833,2,C,17.0
1,1,female,110.8833,2,C,39.0
1,1,female,79.2,0,C,
1,1,male,28.5375,0,C,31.0
0,1,male,27.7208,0,C,40.0
0,1,male,33.5,0,S,61.0
0,1,male,34.0208,0,S,47.0
1,1,female,512.3292,0,C,35.0
0,1,male,75.25,1,C,64.0
1,1,female,75.25,1,C,60.0
0,1,male,26.55,0,S,60.0
0,1,male,77.2875,1,S,54.0
0,1,male,77.2875,1,S,21.0
1,1,female,135.6333,0,C,55.0
1,1,female,164.8667,2,S,31.0
0,1,male,164.8667,2,S,57.0
1,1,female,164.8667,2,S,45.0
0,1,male,211.5,2,C,50.0
0,1,male,211.5,2,C,27.0
1,1,female,211.5,2,C,50.0
1,1,female,26.55,0,S,21.0
0,1,male,61.3792,1,C,51.0
1,1,male,61.3792,1,C,21.0
0,1,male,35.0,0,S,
1,1,female,134.5,0,C,31.0
1,1,male,35.5,0,S,
0,1,male,26.55,0,S,62.0
1,1,female,135.6333,0,C,36.0
0,2,male,24.0,1,C,30.0
1,2,female,24.0,1,C,28.0
0,2,male,13.0,0,S,30.0
0,2,male,11.5,0,S,18.0
0,2,male,10.5,0,S,25.0
0,2,male,26.0,1,S,34.0
1,2,female,26.0,1,S,36.0
0,2,male,13.0,0,S,57.0
0,2,male,11.5,0,S,18.0
0,2,male,10.5,0,S,23.0
1,2,female,13.0,0,S,36.0
0,2,male,10.5,0,S,28.0
0,2,male,12.525,0,S,51.0
1,2,male,26.0,1,S,32.0
1,2,female,26.0,1,S,19.0
0,2,male,26.0,0,S,28.0
1,2,male,39.0,3,S,1.0
1,2,female,39.0,3,S,4.0
1,2,female,39.0,3,S,12.0
1,2,female,39.0,3,S,36.0
1,2,male,13.0,0,S,34.0
1,2,female,13.0,0,S,19.0
0,2,male,13.0,0,S,23.0
0,2,male,13.0,0,S,26.0
0,2,male,13.0,0,S,42.0
0,2,male,13.0,0,S,27.0
1,2,female,13.0,0,S,24.0
1,2,female,39.0,2,S,15.0
0,2,male,39.0,2,S,60.0
1,2,female,39.0,2,S,40.0
1,2,female,26.0,1,S,20.0
0,2,male,26.0,1,S,25.0
1,2,female,13.0,0,S,36.0
0,2,male,13.0,0,S,25.0
0,2,male,13.0,0,S,42.0
1,2,female,13.0,0,S,42.0
1,2,male,29.0,2,S,0.83
1,2,male,29.0,2,S,26.0
1,2,female,29.0,2,S,22.0
1,2,female,21.0,0,S,35.0
0,2,male,0.0,0,S,
0,2,male,13.0,0,S,19.0
0,2,female,26.0,1,S,44.0
0,2,male,26.0,1,S,54.0
0,2,male,13.5,0,S,52.0
0,2,male,26.0,1,S,37.0
0,2,female,26.0,1,S,29.0
1,2,female,30.0,2,S,25.0
1,2,female,30.0,2,S,45.0
0,2,male,26.0,1,S,29.0
1,2,female,26.0,1,S,28.0
0,2,male,10.5,0,S,29.0
0,2,male,13.0,0,S,28.0
1,2,male,10.5,0,S,24.0
1,2,female,26.25,2,S,8.0
0,2,male,26.25,2,S,31.0
1,2,female,26.25,2,S,31.0
1,2,female,10.5,0,S,22.0
0,2,female,13.0,0,S,30.0
0,2,female,21.0,0,S,
0,2,male,11.5,0,S,21.0
0,2,male,0.0,0,S,
1,2,male,36.75,2,S,8.0
0,2,male,73.5,0,S,18.0
1,2,female,36.75,2,S,48.0
1,2,female,13.0,0,S,28.0
0,2,male,13.0,0,S,32.0
0,2,male,73.5,0,S,17.0
0,2,male,27.7208,1,C,29.0
1,2,female,27.7208,1,C,24.0
0,2,male,31.5,0,S,25.0
0,2,male,73.5,0,S,18.0
1,2,female,23.0,1,S,18.0
1,2,female,23.0,1,S,34.0
0,2,male,26.0,0,S,54.0
1,2,male,32.5,2,S,8.0
0,2,male,32.5,2,S,42.0
1,2,female,32.5,2,S,34.0
1,2,female,13.8583,1,C,27.0
1,2,female,13.8583,1,C,30.0
0,2,male,13.0,0,S,23.0
0,2,male,13.0,0,S,21.0
0,2,male,13.0,0,S,18.0
0,2,male,26.0,1,S,40.0
1,2,female,26.0,1,S,29.0
0,2,male,10.5,0,S,18.0
0,2,male,13.0,0,S,36.0
0,2,male,0.0,0,S,
0,2,female,13.0,0,S,38.0
0,2,male,26.0,0,S,35.0
0,2,male,21.0,1,S,38.0
0,2,male,21.0,1,S,34.0
1,2,female,13.0,0,S,34.0
0,2,male,26.0,0,S,16.0
0,2,male,10.5,0,S,26.0
0,2,male,10.5,0,S,47.0
0,2,male,11.5,1,S,21.0
0,2,male,11.5,1,S,21.0
0,2,male,13.5,0,S,24.0
0,2,male,13.0,0,S,24.0
0,2,male,13.0,0,S,34.0
0,2,male,13.0,0,S,30.0
0,2,male,13.0,0,S,52.0
0,2,male,13.0,0,S,30.0
1,2,male,14.5,2,S,0.67
1,2,female,14.5,2,S,24.0
0,2,male,13.0,0,S,44.0
1,2,female,33.0,1,S,6.0
0,2,male,33.0,1,S,28.0
1,2,male,10.5,0,S,62.0
0,2,male,10.5,0,S,30.0
1,2,female,26.25,2,S,7.0
0,2,male,26.25,2,S,43.0
1,2,female,26.25,2,S,45.0
1,2,female,65.0,3,S,24.0
1,2,female,65.0,3,S,24.0
0,2,male,65.0,3,S,49.0
1,2,female,65.0,3,S,48.0
1,2,female,16.0,0,S,55.0
0,2,male,73.5,2,S,24.0
0,2,male,73.5,2,S,32.0
0,2,male,73.5,2,S,21.0
0,2,female,13.0,2,S,18.0
1,2,female,23.0,3,S,20.0
0,2,male,11.5,3,S,23.0
0,2,male,13.0,0,S,36.0
1,2,female,23.0,4,S,54.0
0,2,male,13.0,0,S,50.0
0,2,male,26.0,1,S,44.0
1,2,female,26.0,1,S,29.0
0,2,male,73.5,0,S,21.0
1,2,male,13.0,0,S,42.0
0,2,male,26.0,1,S,63.0
0,2,female,26.0,1,S,60.0
0,2,male,12.275,0,S,33.0
1,2,female,10.5,0,S,17.0
0,2,male,27.0,1,S,42.0
1,2,female,27.0,3,S,24.0
0,2,male,15.0,0,S,47.0
0,2,male,31.5,2,S,24.0
0,2,male,31.5,2,S,22.0
0,2,male,10.5,0,S,32.0
1,2,female,13.7917,0,C,23.0
0,2,male,26.0,1,S,34.0
1,2,female,26.0,1,S,24.0
0,2,female,21.0,0,S,22.0
1,2,female,12.35,0,Q,
0,2,male,12.35,0,Q,35.0
1,2,female,13.5,0,S,45.0
0,2,male,12.35,0,Q,57.0
0,2,male,0.0,0,S,
0,2,male,10.5,0,S,31.0
0,2,female,26.0,2,S,26.0
0,2,male,26.0,2,S,30.0
0,2,male,10.7083,0,Q,
1,2,female,41.5792,3,C,1.0
1,2,female,41.5792,3,C,3.0
0,2,male,41.5792,3,C,25.0
1,2,female,41.5792,3,C,22.0
1,2,female,12.0,0,C,17.0
1,2,female,33.0,0,S,
1,2,female,10.5,0,S,34.0
0,2,male,12.875,0,C,36.0
0,2,male,10.5,0,S,24.0
0,2,male,12.35,0,Q,61.0
0,2,male,26.0,1,S,50.0
1,2,female,26.0,1,S,42.0
0,2,female,10.5,0,S,57.0
0,2,male,15.0458,0,C,
1,2,male,37.0042,2,C,1.0
0,2,male,37.0042,2,C,31.0
1,2,female,37.0042,2,C,24.0
0,2,male,15.5792,0,C,
0,2,male,13.0,0,S,30.0
0,2,male,16.0,0,S,40.0
0,2,male,13.5,0,S,32.0
0,2,male,13.0,0,S,30.0
0,2,male,26.0,0,S,46.0
1,2,female,19.5,1,S,13.0
1,2,female,19.5,1,S,41.0
1,2,male,10.5,0,S,19.0
0,2,male,13.0,0,S,39.0
0,2,male,13.0,0,S,48.0
0,2,male,10.5,0,S,70.0
0,2,male,13.0,0,S,27.0
0,2,male,14.0,0,S,54.0
0,2,male,26.0,0,S,39.0
0,2,male,10.5,0,S,16.0
0,2,male,9.6875,0,Q,62.0
0,2,male,30.0708,1,C,32.5
1,2,female,30.0708,1,C,14.0
1,2,male,26.0,2,S,2.0
1,2,male,26.0,2,S,3.0
0,2,male,26.0,2,S,36.5
0,2,male,13.0,0,S,26.0
0,2,male,36.75,2,S,19.0
0,2,male,13.5,0,S,28.0
1,2,male,13.8625,0,C,20.0
1,2,female,10.5,0,S,29.0
0,2,male,13.0,0,S,39.0
1,2,male,10.5,0,S,22.0
1,2,male,13.8625,0,C,
0,2,male,10.5,0,S,23.0
1,2,male,13.8583,0,C,29.0
0,2,male,10.5,0,S,28.0
0,2,male,0.0,0,S,
1,2,female,26.0,1,S,50.0
0,2,male,10.5,0,S,19.0
0,2,male,15.05,0,C,
0,2,male,13.0,0,S,41.0
1,2,female,21.0,1,S,21.0
1,2,female,26.0,0,S,19.0
0,2,male,21.0,1,S,43.0
1,2,female,13.0,0,S,32.0
0,2,male,13.0,0,S,34.0
1,2,male,12.7375,0,C,30.0
0,2,male,15.0333,0,C,27.0
1,2,female,26.0,2,S,2.0
1,2,female,26.0,2,S,8.0
1,2,female,26.0,2,S,33.0
0,2,male,10.5,0,S,36.0
0,2,male,21.0,1,S,34.0
1,2,female,21.0,3,S,30.0
1,2,female,13.0,0,S,28.0
0,2,male,15.0458,0,C,23.0
1,2,male,18.75,2,S,0.83
1,2,male,18.75,2,S,3.0
1,2,female,18.75,5,S,24.0
1,2,female,10.5,0,S,50.0
0,2,male,10.5,0,S,19.0
1,2,female,10.5,0,S,21.0
0,2,male,13.0,0,S,26.0
0,2,male,13.0,0,S,25.0
0,2,male,26.0,0,S,27.0
1,2,female,26.0,1,S,25.0
1,2,female,13.0,2,S,18.0
1,2,female,36.75,0,S,20.0
1,2,female,13.0,0,S,30.0
0,2,male,13.5,0,S,59.0
1,2,female,12.35,0,Q,30.0
0,2,male,10.5,0,S,35.0
1,2,female,13.0,0,S,40.0
0,2,male,13.0,0,S,25.0
0,2,male,15.0458,0,C,41.0
0,2,male,10.5,0,S,25.0
0,2,male,13.0,0,S,18.5
0,2,male,65.0,0,S,14.0
1,2,female,10.5,0,S,50.0
0,2,male,13.0,0,S,23.0
1,2,female,12.65,0,S,28.0
1,2,female,10.5,0,S,27.0
0,2,male,21.0,1,S,29.0
0,2,female,21.0,1,S,27.0
0,2,male,13.0,0,S,40.0
1,2,female,21.0,0,S,31.0
0,2,male,21.0,1,S,30.0
0,2,male,10.5,1,S,23.0
1,2,female,21.0,0,S,31.0
0,2,male,0.0,0,S,
1,2,female,15.75,0,S,12.0
1,2,female,15.75,0,S,40.0
1,2,female,13.0,0,S,32.5
0,2,male,26.0,1,S,27.0
1,2,female,26.0,1,S,29.0
1,2,male,23.0,2,S,2.0
1,2,female,23.0,2,S,4.0
1,2,female,23.0,2,S,29.0
1,2,female,27.75,3,S,0.92
1,2,female,27.75,3,S,5.0
0,2,male,27.75,3,S,36.0
1,2,female,27.75,3,S,33.0
0,2,male,10.5,0,S,66.0
0,2,male,12.875,0,S,
1,2,male,13.0,0,S,31.0
1,2,male,13.0,0,S,
1,2,female,13.5,0,S,26.0
0,2,female,13.0,0,S,24.0
0,3,male,7.55,0,S,42.0
0,3,male,20.25,2,S,13.0
0,3,male,20.25,2,S,16.0
1,3,female,20.25,2,S,35.0
1,3,female,7.65,0,S,16.0
1,3,male,7.65,0,S,25.0
1,3,male,7.925,0,S,20.0
1,3,female,7.2292,0,C,18.0
0,3,male,7.25,0,S,30.0
0,3,male,8.05,0,S,26.0
0,3,female,9.475,1,S,40.0
1,3,male,9.35,1,S,0.83
1,3,female,9.35,1,S,18.0
1,3,male,18.7875,0,C,26.0
0,3,male,7.8875,0,S,26.0
0,3,male,7.925,0,S,20.0
0,3,male,7.05,0,S,24.0
0,3,male,7.05,0,S,25.0
0,3,male,8.05,0,S,35.0
0,3,male,8.3,0,S,18.0
0,3,male,22.525,0,S,32.0
1,3,female,7.8542,1,S,19.0
0,3,male,31.275,6,S,4.0
0,3,female,31.275,6,S,6.0
0,3,female,31.275,6,S,2.0
1,3,female,7.925,6,S,17.0
0,3,female,7.775,6,S,38.0
0,3,female,31.275,6,S,9.0
0,3,female,31.275,6,S,11.0
0,3,male,31.275,6,S,39.0
1,3,male,7.7958,0,S,27.0
0,3,male,7.775,0,S,26.0
0,3,female,31.275,6,S,39.0
0,3,male,7.8542,0,S,20.0
0,3,male,7.8958,0,S,26.0
0,3,male,17.8,1,S,25.0
0,3,female,17.8,1,S,18.0
0,3,male,7.775,0,S,24.0
0,3,male,7.05,0,S,35.0
0,3,male,31.3875,6,S,5.0
0,3,male,31.3875,6,S,9.0
1,3,male,31.3875,6,S,3.0
0,3,male,31.3875,6,S,13.0
1,3,female,31.3875,6,S,5.0
0,3,male,31.3875,6,S,40.0
1,3,male,7.7958,0,S,23.0
1,3,female,31.3875,6,S,38.0
1,3,female,7.225,0,C,45.0
0,3,male,7.225,0,C,21.0
0,3,male,7.05,0,S,23.0
0,3,female,14.4583,0,C,17.0
0,3,male,7.225,0,C,30.0
0,3,male,7.8542,0,S,23.0
1,3,female,7.2292,0,C,13.0
0,3,male,7.225,0,C,20.0
0,3,male,15.85,1,S,32.0
1,3,female,15.85,3,S,33.0
1,3,female,19.2583,3,C,0.75
1,3,female,19.2583,3,C,0.75
1,3,female,19.2583,3,C,5.0
1,3,female,19.2583,3,C,24.0
1,3,female,8.05,0,S,18.0
0,3,male,7.225,0,C,40.0
0,3,male,7.8958,0,S,26.0
1,3,male,7.2292,0,C,20.0
0,3,female,14.4542,1,C,18.0
0,3,female,14.4542,1,C,45.0
0,3,female,7.8792,0,Q,27.0
0,3,male,8.05,0,S,22.0
0,3,male,8.05,0,S,19.0
0,3,male,7.775,0,S,26.0
0,3,male,9.35,0,S,22.0
0,3,male,7.2292,0,C,
0,3,male,4.0125,0,C,20.0
1,3,male,56.4958,0,S,32.0
0,3,male,7.775,0,S,21.0
0,3,male,7.75,0,S,18.0
0,3,male,7.8958,0,S,26.0
0,3,male,15.2458,2,C,6.0
0,3,female,15.2458,2,C,9.0
0,3,male,7.225,0,C,
0,3,female,15.2458,2,C,
0,3,female,7.75,2,Q,
0,3,male,15.5,2,Q,40.0
0,3,female,15.5,2,Q,32.0
0,3,male,16.1,0,S,21.0
1,3,female,7.725,0,Q,22.0
0,3,female,7.8542,0,S,20.0
0,3,male,7.0458,1,S,29.0
0,3,male,7.25,1,S,22.0
0,3,male,7.7958,0,S,22.0
0,3,male,8.05,0,S,35.0
0,3,female,7.2833,0,Q,18.5
1,3,male,7.8208,0,Q,21.0
0,3,male,6.75,0,Q,19.0
0,3,female,7.8792,0,Q,18.0
0,3,female,8.6625,0,S,21.0
0,3,female,8.6625,0,S,30.0
0,3,male,8.6625,0,S,18.0
0,3,male,8.6625,0,S,38.0
0,3,male,8.6625,0,S,17.0
0,3,male,8.6625,0,S,17.0
0,3,female,7.75,0,Q,21.0
0,3,male,7.75,0,Q,21.0
0,3,male,8.05,0,S,21.0
0,3,male,14.4583,1,C,
0,3,female,14.4583,1,C,
0,3,male,7.7958,0,S,28.0
0,3,male,7.8542,0,S,24.0
1,3,female,7.75,0,Q,16.0
0,3,female,7.75,0,Q,37.0
0,3,male,7.25,0,S,28.0
0,3,male,8.05,0,S,24.0
0,3,male,7.7333,0,Q,21.0
1,3,male,56.4958,0,S,32.0
0,3,male,8.05,0,S,29.0
0,3,male,14.4542,1,C,26.0
0,3,male,14.4542,1,C,18.0
0,3,male,7.05,0,S,20.0
1,3,male,8.05,0,S,18.0
0,3,male,7.25,0,Q,24.0
0,3,male,7.4958,0,S,36.0
0,3,male,7.4958,0,S,24.0
0,3,male,7.7333,0,Q,31.0
0,3,male,7.75,0,Q,31.0
1,3,female,7.75,0,Q,22.0
0,3,female,7.6292,0,Q,30.0
0,3,male,7.75,0,Q,70.5
0,3,male,8.05,0,S,43.0
0,3,male,7.8958,0,S,35.0
0,3,male,7.8958,0,S,27.0
0,3,male,7.8958,0,S,19.0
0,3,male,8.05,0,S,30.0
1,3,male,15.9,2,S,9.0
1,3,male,15.9,2,S,3.0
1,3,female,15.9,2,S,36.0
0,3,male,7.25,0,S,59.0
0,3,male,8.1583,0,S,19.0
1,3,female,16.1,1,S,17.0
0,3,male,16.1,1,S,44.0
0,3,male,8.6625,0,S,17.0
0,3,male,7.225,0,C,22.5
1,3,male,8.05,0,S,45.0
0,3,female,10.5167,0,S,22.0
0,3,male,10.1708,0,S,19.0
1,3,female,6.95,0,Q,30.0
1,3,male,7.75,0,Q,29.0
0,3,male,14.4,2,S,0.33
0,3,male,14.4,2,S,34.0
0,3,female,14.4,2,S,28.0
0,3,male,7.8958,0,S,27.0
0,3,male,7.8958,0,S,25.0
0,3,male,24.15,2,S,24.0
0,3,male,8.05,0,S,22.0
0,3,male,24.15,2,S,21.0
0,3,male,8.05,2,S,17.0
0,3,male,16.1,1,S,
1,3,female,16.1,1,S,
1,3,male,17.4,1,S,36.5
1,3,female,17.4,1,S,36.0
1,3,male,9.5,0,S,30.0
0,3,male,9.5,0,S,16.0
1,3,male,20.575,3,S,1.0
1,3,female,20.575,3,S,0.17
0,3,male,20.575,3,S,26.0
1,3,female,20.575,3,S,33.0
0,3,male,7.8958,0,S,25.0
0,3,male,7.8958,0,S,
0,3,male,7.8958,0,S,
0,3,male,7.25,0,S,22.0
0,3,male,7.25,0,S,36.0
1,3,female,7.8792,0,Q,19.0
