survived,pclass,fare,familySize,age,sex_male,embarked_Q,embarked_S
1,1,39.6,0,28.0,1,0,1
0,1,135.6333,0,22.0,1,0,0
0,1,227.525,0,28.0,1,0,0
1,1,211.3375,1,43.0,0,0,1
0,1,50.4958,0,31.0,1,0,1
1,1,26.55,0,45.0,1,0,1
0,1,50.0,0,28.0,1,0,1
1,1,27.7208,0,33.0,0,0,0
0,1,79.2,0,46.0,1,0,0
0,1,40.125,0,36.0,1,0,0
1,1,86.5,0,33.0,0,0,1
0,1,59.4,1,55.0,1,0,0
1,1,59.4,1,54.0,0,0,0
0,1,26.55,0,33.0,1,0,1
1,1,262.375,4,13.0,1,0,0
1,1,262.375,4,18.0,0,0,0
1,1,262.375,4,21.0,0,0,0
0,1,262.375,4,61.0,1,0,0
1,1,262.375,4,48.0,0,0,0
1,1,30.5,0,28.0,1,0,1
1,1,69.3,0,24.0,0,0,0
1,1,26.0,0,28.0,1,0,1
1,1,57.75,1,35.0,0,0,0
1,1,31.0,0,30.0,0,0,0
1,1,26.55,0,34.0,1,0,1
1,1,153.4625,0,40.0,0,0,1
1,1,26.2875,0,35.0,1,0,1
0,1,55.9,1,50.0,1,0,1
1,1,55.9,1,39.0,0,0,1
1,1,35.5,0,56.0,1,0,0
1,1,35.5,0,28.0,1,0,1
0,1,26.55,0,56.0,1,0,1
0,1,30.6958,0,56.0,1,0,0
0,1,60.0,1,24.0,1,0,1
0,1,26.0,0,28.0,1,0,1
1,1,60.0,1,18.0,0,0,1
1,1,82.2667,1,24.0,1,0,1
1,1,82.2667,1,23.0,0,0,1
1,1,134.5,2,6.0,1,0,0
1,1,134.5,2,45.0,1,0,0
1,1,134.5,2,40.0,0,0,0
0,1,146.5208,1,57.0,1,0,0
1,1,146.5208,1,28.0,0,0,0
1,1,30.5,0,32.0,1,0,0
0,1,26.55,0,62.0,1,0,1
1,1,55.4417,1,54.0,1,0,0
1,1,55.4417,1,43.0,0,0,0
1,1,78.2667,1,52.0,0,0,0
0,1,27.7208,0,28.0,1,0,0
1,1,80.0,0,62.0,0,0,0
0,1,221.7792,1,67.0,1,0,1
0,1,221.7792,1,63.0,0,0,1
0,1,32.3208,0,61.0,1,0,1
1,1,25.9292,0,48.0,0,0,1
1,1,79.65,2,18.0,0,0,1
0,1,79.65,2,52.0,1,0,1
1,1,79.65,2,39.0,0,0,1
1,1,52.0,1,48.0,1,0,1
1,1,52.0,1,28.0,0,0,1
0,1,110.8833,2,49.0,1,0,0
1,1,110.8833,2,17.0,1,0,0
1,1,110.8833,2,39.0,0,0,0
1,1,79.2,0,28.0,0,0,0
1,1,28.5375,0,31.0,1,0,0
0,1,27.7208,0,40.0,1,0,0
0,1,33.5,0,61.0,1,0,1
0,1,34.0208,0,47.0,1,0,1
1,1,512.3292,0,35.0,0,0,0
0,1,75.25,1,64.0,1,0,0
1,1,75.25,1,60.0,0,0,0
0,1,26.55,0,60.0,1,0,1
0,1,77.2875,1,54.0,1,0,1
0,1,77.2875,1,21.0,1,0,1
1,1,135.6333,0,55.0,0,0,0
1,1,164.8667,2,31.0,0,0,1
0,1,164.8667,2,57.0,1,0,1
1,1,164.8667,2,45.0,0,0,1
0,1,211.5,2,50.0,1,0,0
0,1,211.5,2,27.0,1,0,0
1,1,211.5,2,50.0,0,0,0
1,1,26.55,0,21.0,0,0,1
0,1,61.3792,1,51.0,1,0,0
1,1,61.3792,1,21.0,1,0,0
0,1,35.0,0,28.0,1,0,1
1,1,134.5,0,31.0,0,0,0
1,1,35.5,0,28.0,1,0,1
0,1,26.55,0,62.0,1,0,1
1,1,135.6333,0,36.0,0,0,0
0,2,24.0,1,30.0,1,0,0
1,2,24.0,1,28.0,0,0,0
0,2,13.0,0,30.0,1,0,1
0,2,11.5,0,18.0,1,0,1
0,2,10.5,0,25.0,1,0,1
0,2,26.0,1,34.0,1,0,1
1,2,26.0,1,36.0,0,0,1
0,2,13.0,0,57.0,1,0,1
0,2,11.5,0,18.0,1,0,1
0,2,10.5,0,23.0,1,0,1
1,2,13.0,0,36.0,0,0,1
0,2,10.5,0,28.0,1,0,1
0,2,12.525,0,51.0,1,0,1
1,2,26.0,1,32.0,1,0,1
1,2,26.0,1,19.0,0,0,1
0,2,26.0,0,28.0,1,0,1
1,2,39.0,3,1.0,1,0,1
1,2,39.0,3,4.0,0,0,1
1,2,39.0,3,12.0,0,0,1
1,2,39.0,3,36.0,0,0,1
1,2,13.0,0,34.0,1,0,1
1,2,13.0,0,19.0,0,0,1
0,2,13.0,0,23.0,1,0,1
0,2,13.0,0,26.0,1,0,1
0,2,13.0,0,42.0,1,0,1
0,2,13.0,0,27.0,1,0,1
1,2,13.0,0,24.0,0,0,1
1,2,39.0,2,15.0,0,0,1
0,2,39.0,2,60.0,1,0,1
1,2,39.0,2,40.0,0,0,1
1,2,26.0,1,20.0,0,0,1
0,2,26.0,1,25.0,1,0,1
1,2,13.0,0,36.0,0,0,1
0,2,13.0,0,25.0,1,0,1
0,2,13.0,0,42.0,1,0,1
1,2,13.0,0,42.0,0,0,1
1,2,29.0,2,0.83,1,0,1
1,2,29.0,2,26.0,1,0,1
1,2,29.0,2,22.0,0,0,1
1,2,21.0,0,35.0,0,0,1
0,2,0.0,0,28.0,1,0,1
0,2,13.0,0,19.0,1,0,1
0,2,26.0,1,44.0,0,0,1
0,2,26.0,1,54.0,1,0,1
0,2,13.5,0,52.0,1,0,1
0,2,26.0,1,37.0,1,0,1
0,2,26.0,1,29.0,0,0,1
1,2,30.0,2,25.0,0,0,1
1,2,30.0,2,45.0,0,0,1
0,2,26.0,1,29.0,1,0,1
1,2,26.0,1,28.0,0,0,1
0,2,10.5,0,29.0,1,0,1
0,2,13.0,0,28.0,1,0,1
1,2,10.5,0,24.0,1,0,1
1,2,26.25,2,8.0,0,0,1
0,2,26.25,2,31.0,1,0,1
1,2,26.25,2,31.0,0,0,1
1,2,10.5,0,22.0,0,0,1
0,2,13.0,0,30.0,0,0,1
0,2,21.0,0,28.0,0,0,1
0,2,11.5,0,21.0,1,0,1
0,2,0.0,0,28.0,1,0,1
1,2,36.75,2,8.0,1,0,1
0,2,73.5,0,18.0,1,0,1
1,2,36.75,2,48.0,0,0,1
1,2,13.0,0,28.0,0,0,1
0,2,13.0,0,32.0,1,0,1
0,2,73.5,0,17.0,1,0,1
0,2,27.7208,1,29.0,1,0,0
1,2,27.7208,1,24.0,0,0,0
0,2,31.5,0,25.0,1,0,1
0,2,73.5,0,18.0,1,0,1
1,2,23.0,1,18.0,0,0,1
1,2,23.0,1,34.0,0,0,1
0,2,26.0,0,54.0,1,0,1
1,2,32.5,2,8.0,1,0,1
0,2,32.5,2,42.0,1,0,1
1,2,32.5,2,34.0,0,0,1
1,2,13.8583,1,27.0,0,0,0
1,2,13.8583,1,30.0,0,0,0
0,2,13.0,0,23.0,1,0,1
0,2,13.0,0,21.0,1,0,1
0,2,13.0,0,18.0,1,0,1
0,2,26.0,1,40.0,1,0,1
1,2,26.0,1,29.0,0,0,1
0,2,10.5,0,18.0,1,0,1
0,2,13.0,0,36.0,1,0,1
0,2,0.0,0,28.0,1,0,1
0,2,13.0,0,38.0,0,0,1
0,2,26.0,0,35.0,1,0,1
0,2,21.0,1,38.0,1,0,1
0,2,21.0,1,34.0,1,0,1
1,2,13.0,0,34.0,0,0,1
0,2,26.0,0,16.0,1,0,1
0,2,10.5,0,26.0,1,0,1
0,2,10.5,0,47.0,1,0,1
0,2,11.5,1,21.0,1,0,1
0,2,11.5,1,21.0,1,0,1
0,2,13.5,0,24.0,1,0,1
0,2,13.0,0,24.0,1,0,1
0,2,13.0,0,34.0,1,0,1
0,2,13.0,0,30.0,1,0,1
0,2,13.0,0,52.0,1,0,1
0,2,13.0,0,30.0,1,0,1
1,2,14.5,2,0.67,1,0,1
1,2,14.5,2,24.0,0,0,1
0,2,13.0,0,44.0,1,0,1
1,2,33.0,1,6.0,0,0,1
0,2,33.0,1,28.0,1,0,1
1,2,10.5,0,62.0,1,0,1
0,2,10.5,0,30.0,1,0,1
1,2,26.25,2,7.0,0,0,1
0,2,26.25,2,43.0,1,0,1
1,2,26.25,2,45.0,0,0,1
1,2,65.0,3,24.0,0,0,1
1,2,65.0,3,24.0,0,0,1
0,2,65.0,3,49.0,1,0,1
1,2,65.0,3,48.0,0,0,1
1,2,16.0,0,55.0,0,0,1
0,2,73.5,2,24.0,1,0,1
0,2,73.5,2,32.0,1,0,1
0,2,73.5,2,21.0,1,0,1
0,2,13.0,2,18.0,0,0,1
1,2,23.0,3,20.0,0,0,1
0,2,11.5,3,23.0,1,0,1
0,2,13.0,0,36.0,1,0,1
1,2,23.0,4,54.0,0,0,1
0,2,13.0,0,50.0,1,0,1
0,2,26.0,1,44.0,1,0,1
1,2,26.0,1,29.0,0,0,1
0,2,73.5,0,21.0,1,0,1
1,2,13.0,0,42.0,1,0,1
0,2,26.0,1,63.0,1,0,1
0,2,26.0,1,60.0,0,0,1
0,2,12.275,0,33.0,1,0,1
1,2,10.5,0,17.0,0,0,1
0,2,27.0,1,42.0,1,0,1
1,2,27.0,3,24.0,0,0,1
0,2,15.0,0,47.0,1,0,1
0,2,31.5,2,24.0,1,0,1
0,2,31.5,2,22.0,1,0,1
0,2,10.5,0,32.0,1,0,1
1,2,13.7917,0,23.0,0,0,0
0,2,26.0,1,34.0,1,0,1
1,2,26.0,1,24.0,0,0,1
0,2,21.0,0,22.0,0,0,1
1,2,12.35,0,28.0,0,1,0
0,2,12.35,0,35.0,1,1,0
1,2,13.5,0,45.0,0,0,1
0,2,12.35,0,57.0,1,1,0
0,2,0.0,0,28.0,1,0,1
0,2,10.5,0,31.0,1,0,1
0,2,26.0,2,26.0,0,0,1
0,2,26.0,2,30.0,1,0,1
0,2,10.7083,0,28.0,1,1,0
1,2,41.5792,3,1.0,0,0,0
1,2,41.5792,3,3.0,0,0,0
0,2,41.5792,3,25.0,1,0,0
1,2,41.5792,3,22.0,0,0,0
1,2,12.0,0,17.0,0,0,0
1,2,33.0,0,28.0,0,0,1
1,2,10.5,0,34.0,0,0,1
0,2,12.875,0,36.0,1,0,0
0,2,10.5,0,24.0,1,0,1
0,2,12.35,0,61.0,1,1,0
0,2,26.0,1,50.0,1,0,1
1,2,26.0,1,42.0,0,0,1
0,2,10.5,0,57.0,0,0,1
0,2,15.0458,0,28.0,1,0,0
1,2,37.0042,2,1.0,1,0,0
0,2,37.0042,2,31.0,1,0,0
1,2,37.0042,2,24.0,0,0,0
0,2,15.5792,0,28.0,1,0,0
0,2,13.0,0,30.0,1,0,1
0,2,16.0,0,40.0,1,0,1
0,2,13.5,0,32.0,1,0,1
0,2,13.0,0,30.0,1,0,1
0,2,26.0,0,46.0,1,0,1
1,2,19.5,1,13.0,0,0,1
1,2,19.5,1,41.0,0,0,1
1,2,10.5,0,19.0,1,0,1
0,2,13.0,0,39.0,1,0,1
0,2,13.0,0,48.0,1,0,1
0,2,10.5,0,70.0,1,0,1
0,2,13.0,0,27.0,1,0,1
0,2,14.0,0,54.0,1,0,1
0,2,26.0,0,39.0,1,0,1
0,2,10.5,0,16.0,1,0,1
0,2,9.6875,0,62.0,1,1,0
0,2,30.0708,1,32.5,1,0,0
1,2,30.0708,1,14.0,0,0,0
1,2,26.0,2,2.0,1,0,1
1,2,26.0,2,3.0,1,0,1
0,2,26.0,2,36.5,1,0,1
0,2,13.0,0,26.0,1,0,1
0,2,36.75,2,19.0,1,0,1
0,2,13.5,0,28.0,1,0,1
1,2,13.8625,0,20.0,1,0,0
1,2,10.5,0,29.0,0,0,1
0,2,13.0,0,39.0,1,0,1
1,2,10.5,0,22.0,1,0,1
1,2,13.8625,0,28.0,1,0,0
0,2,10.5,0,23.0,1,0,1
1,2,13.8583,0,29.0,1,0,0
0,2,10.5,0,28.0,1,0,1
0,2,0.0,0,28.0,1,0,1
1,2,26.0,1,50.0,0,0,1
0,2,10.5,0,19.0,1,0,1
0,2,15.05,0,28.0,1,0,0
0,2,13.0,0,41.0,1,0,1
1,2,21.0,1,21.0,0,0,1
1,2,26.0,0,19.0,0,0,1
0,2,21.0,1,43.0,1,0,1
1,2,13.0,0,32.0,0,0,1
0,2,13.0,0,34.0,1,0,1
1,2,12.7375,0,30.0,1,0,0
0,2,15.0333,0,27.0,1,0,0
1,2,26.0,2,2.0,0,0,1
1,2,26.0,2,8.0,0,0,1
1,2,26.0,2,33.0,0,0,1
0,2,10.5,0,36.0,1,0,1
0,2,21.0,1,34.0,1,0,1
1,2,21.0,3,30.0,0,0,1
1,2,13.0,0,28.0,0,0,1
0,2,15.0458,0,23.0,1,0,0
1,2,18.75,2,0.83,1,0,1
1,2,18.75,2,3.0,1,0,1
1,2,18.75,5,24.0,0,0,1
1,2,10.5,0,50.0,0,0,1
0,2,10.5,0,19.0,1,0,1
1,2,10.5,0,21.0,0,0,1
0,2,13.0,0,26.0,1,0,1
0,2,13.0,0,25.0,1,0,1
0,2,26.0,0,27.0,1,0,1
1,2,26.0,1,25.0,0,0,1
1,2,13.0,2,18.0,0,0,1
1,2,36.75,0,20.0,0,0,1
1,2,13.0,0,30.0,0,0,1
0,2,13.5,0,59.0,1,0,1
1,2,12.35,0,30.0,0,1,0
0,2,10.5,0,35.0,1,0,1
1,2,13.0,0,40.0,0,0,1
0,2,13.0,0,25.0,1,0,1
0,2,15.0458,0,41.0,1,0,0
0,2,10.5,0,25.0,1,0,1
0,2,13.0,0,18.5,1,0,1
0,2,65.0,0,14.0,1,0,1
1,2,10.5,0,50.0,0,0,1
0,2,13.0,0,23.0,1,0,1
1,2,12.65,0,28.0,0,0,1
1,2,10.5,0,27.0,0,0,1
0,2,21.0,1,29.0,1,0,1
0,2,21.0,1,27.0,0,0,1
0,2,13.0,0,40.0,1,0,1
1,2,21.0,0,31.0,0,0,1
0,2,21.0,1,30.0,1,0,1
0,2,10.5,1,23.0,1,0,1
1,2,21.0,0,31.0,0,0,1
0,2,0.0,0,28.0,1,0,1
1,2,15.75,0,12.0,0,0,1
1,2,15.75,0,40.0,0,0,1
1,2,13.0,0,32.5,0,0,1
0,2,26.0,1,27.0,1,0,1
1,2,26.0,1,29.0,0,0,1
1,2,23.0,2,2.0,1,0,1
1,2,23.0,2,4.0,0,0,1
1,2,23.0,2,29.0,0,0,1
1,2,27.75,3,0.92,0,0,1
1,2,27.75,3,5.0,0,0,1
0,2,27.75,3,36.0,1,0,1
1,2,27.75,3,33.0,0,0,1
0,2,10.5,0,66.0,1,0,1
0,2,12.875,0,28.0,1,0,1
1,2,13.0,0,31.0,1,0,1
1,2,13.0,0,28.0,1,0,1
1,2,13.5,0,26.0,0,0,1
0,2,13.0,0,24.0,0,0,1
0,3,7.55,0,42.0,1,0,1
0,3,20.25,2,13.0,1,0,1
0,3,20.25,2,16.0,1,0,1
1,3,20.25,2,35.0,0,0,1
1,3,7.65,0,16.0,0,0,1
1,3,7.65,0,25.0,1,0,1
1,3,7.925,0,20.0,1,0,1
1,3,7.2292,0,18.0,0,0,0
0,3,7.25,0,30.0,1,0,1
0,3,8.05,0,26.0,1,0,1
0,3,9.475,1,40.0,0,0,1
1,3,9.35,1,0.83,1,0,1
1,3,9.35,1,18.0,0,0,1
1,3,18.7875,0,26.0,1,0,0
0,3,7.8875,0,26.0,1,0,1
0,3,7.925,0,20.0,1,0,1
0,3,7.05,0,24.0,1,0,1
0,3,7.05,0,25.0,1,0,1
0,3,8.05,0,35.0,1,0,1
0,3,8.3,0,18.0,1,0,1
0,3,22.525,0,32.0,1,0,1
1,3,7.8542,1,19.0,0,0,1
0,3,31.275,6,4.0,1,0,1
0,3,31.275,6,6.0,0,0,1
0,3,31.275,6,2.0,0,0,1
1,3,7.925,6,17.0,0,0,1
0,3,7.775,6,38.0,0,0,1
0,3,31.275,6,9.0,0,0,1
0,3,31.275,6,11.0,0,0,1
0,3,31.275,6,39.0,1,0,1
1,3,7.7958,0,27.0,1,0,1
0,3,7.775,0,26.0,1,0,1
0,3,31.275,6,39.0,0,0,1
0,3,7.8542,0,20.0,1,0,1
0,3,7.8958,0,26.0,1,0,1
0,3,17.8,1,25.0,1,0,1
0,3,17.8,1,18.0,0,0,1
0,3,7.775,0,24.0,1,0,1
0,3,7.05,0,35.0,1,0,1
0,3,31.3875,6,5.0,1,0,1
0,3,31.3875,6,9.0,1,0,1
1,3,31.3875,6,3.0,1,0,1
0,3,31.3875,6,13.0,1,0,1
1,3,31.3875,6,5.0,0,0,1
0,3,31.3875,6,40.0,1,0,1
1,3,7.7958,0,23.0,1,0,1
1,3,31.3875,6,38.0,0,0,1
1,3,7.225,0,45.0,0,0,0
0,3,7.225,0,21.0,1,0,0
0,3,7.05,0,23.0,1,0,1
0,3,14.4583,0,17.0,0,0,0
0,3,7.225,0,30.0,1,0,0
0,3,7.8542,0,23.0,1,0,1
1,3,7.2292,0,13.0,0,0,0
0,3,7.225,0,20.0,1,0,0
0,3,15.85,1,32.0,1,0,1
1,3,15.85,3,33.0,0,0,1
1,3,19.2583,3,0.75,0,0,0
1,3,19.2583,3,0.75,0,0,0
1,3,19.2583,3,5.0,0,0,0
1,3,19.2583,3,24.0,0,0,0
1,3,8.05,0,18.0,0,0,1
0,3,7.225,0,40.0,1,0,0
0,3,7.8958,0,26.0,1,0,1
1,3,7.2292,0,20.0,1,0,0
0,3,14.4542,1,18.0,0,0,0
0,3,14.4542,1,45.0,0,0,0
0,3,7.8792,0,27.0,0,1,0
0,3,8.05,0,22.0,1,0,1
0,3,8.05,0,19.0,1,0,1
0,3,7.775,0,26.0,1,0,1
0,3,9.35,0,22.0,1,0,1
0,3,7.2292,0,28.0,1,0,0
0,3,4.0125,0,20.0,1,0,0
1,3,56.4958,0,32.0,1,0,1
0,3,7.775,0,21.0,1,0,1
0,3,7.75,0,18.0,1,0,1
0,3,7.8958,0,26.0,1,0,1
0,3,15.2458,2,6.0,1,0,0
0,3,15.2458,2,9.0,0,0,0
0,3,7.225,0,28.0,1,0,0
0,3,15.2458,2,28.0,0,0,0
0,3,7.75,2,28.0,0,1,0
0,3,15.5,2,40.0,1,1,0
0,3,15.5,2,32.0,0,1,0
0,3,16.1,0,21.0,1,0,1
1,3,7.725,0,22.0,0,1,0
